"filename", "language", "Markdown", "JavaScript", "CSS", "HTML", "comment", "blank", "total"
"/Users/cdaloong/Documents/code/GitHub/blog-doc/Static/plugins/docsify-copy-code.min.js", "JavaScript", 0, 1, 0, 0, 8, 1, 10
"/Users/cdaloong/Documents/code/GitHub/blog-doc/Static/plugins/docsify-pagination.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 1
"/Users/cdaloong/Documents/code/GitHub/blog-doc/Static/plugins/docsify-sidebar-collapse.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 1
"/Users/cdaloong/Documents/code/GitHub/blog-doc/Static/plugins/emoji.min.js", "JavaScript", 0, 1, 0, 0, 0, 1, 2
"/Users/cdaloong/Documents/code/GitHub/blog-doc/Static/plugins/front-matter.min.js", "JavaScript", 0, 1, 0, 0, 0, 1, 2
"/Users/cdaloong/Documents/code/GitHub/blog-doc/Static/plugins/gitalk.min.js", "JavaScript", 0, 6, 0, 0, 29, 0, 35
"/Users/cdaloong/Documents/code/GitHub/blog-doc/Static/plugins/search.min.js", "JavaScript", 0, 1, 0, 0, 0, 1, 2
"/Users/cdaloong/Documents/code/GitHub/blog-doc/Static/plugins/zoom-image.min.js", "JavaScript", 0, 2, 0, 0, 1, 1, 4
"/Users/cdaloong/Documents/code/GitHub/blog-doc/Static/themes/gitalk.css", "CSS", 0, 0, 1117, 0, 15, 127, 1259
"/Users/cdaloong/Documents/code/GitHub/blog-doc/Static/themes/vue.min.css", "CSS", 0, 0, 1, 0, 0, 0, 1
"/Users/cdaloong/Documents/code/GitHub/blog-doc/Vue/vue2学习.md", "Markdown", 5795, 0, 0, 0, 0, 1766, 7561
"/Users/cdaloong/Documents/code/GitHub/blog-doc/_sidebar.md", "Markdown", 37, 0, 0, 0, 0, 13, 50
"/Users/cdaloong/Documents/code/GitHub/blog-doc/index.html", "HTML", 0, 0, 0, 97, 12, 4, 113
"Total", "-", 29291, 69, 1337, 97, 126, 7078, 37998
